run_index,timestamp,provider,domain,scenario,action,stage1_route,bureau_called,confidence,latency_ms,calls,input_tokens,output_tokens,model,resolved_model
2,2026-09-19T04:38:24.172Z,mock,triage,infra-outage,restart_infra,,,0.810,73,1,546,133,mock,mock
2,2026-09-19T04:38:24.266Z,mock,triage,known-flake-v2,auto_retry,,,0.620,94,1,613,133,mock,mock
2,2026-09-19T04:38:24.348Z,mock,triage,known-flake,auto_retry,,,0.620,82,1,613,133,mock,mock
0,2026-09-19T04:38:24.844Z,mock,checkout,ambiguous-checkout,review,bureau_call,true,0.180,492,2,999,220,mock,mock
0,2026-09-19T04:38:25.372Z,mock,checkout,bopis-edge-v2,approve,bureau_call,true,0.720,527,2,995,218,mock,mock
0,2026-09-19T04:38:25.906Z,mock,checkout,bopis-edge,approve,bureau_call,true,0.720,534,2,993,218,mock,mock
0,2026-09-19T04:38:26.612Z,mock,checkout,bureau-contradiction,review,bureau_call,true,0.350,705,2,1004,220,mock,mock
0,2026-09-19T04:38:26.703Z,mock,checkout,clean-repeat-buyer,approve,approve_fast_path,false,0.870,91,1,525,113,mock,mock
0,2026-09-19T04:38:26.774Z,mock,checkout,stolen-card-pattern,decline,decline_fast_path,false,0.790,71,1,520,115,mock,mock
0,2026-09-19T04:38:27.713Z,mock,checkout,thin-file-new-customer,step_up,bureau_call,true,0.550,939,2,1004,220,mock,mock
1,2026-09-19T04:38:28.620Z,mock,checkout,ambiguous-checkout,review,bureau_call,true,0.180,907,2,999,220,mock,mock
1,2026-09-19T04:38:29.559Z,mock,checkout,bopis-edge-v2,approve,bureau_call,true,0.720,938,2,995,218,mock,mock
1,2026-09-19T04:38:30.073Z,mock,checkout,bopis-edge,approve,bureau_call,true,0.720,513,2,993,218,mock,mock
1,2026-09-19T04:38:30.893Z,mock,checkout,bureau-contradiction,review,bureau_call,true,0.350,819,2,1004,220,mock,mock
1,2026-09-19T04:38:30.985Z,mock,checkout,clean-repeat-buyer,approve,approve_fast_path,false,0.870,92,1,525,113,mock,mock
1,2026-09-19T04:38:31.061Z,mock,checkout,stolen-card-pattern,decline,decline_fast_path,false,0.790,76,1,520,115,mock,mock
1,2026-09-19T04:38:31.561Z,mock,checkout,thin-file-new-customer,step_up,bureau_call,true,0.550,500,2,1004,220,mock,mock
2,2026-09-19T04:38:32.247Z,mock,checkout,ambiguous-checkout,review,bureau_call,true,0.180,684,2,999,220,mock,mock
2,2026-09-19T04:38:32.847Z,mock,checkout,bopis-edge-v2,approve,bureau_call,true,0.720,599,2,995,218,mock,mock
2,2026-09-19T04:38:33.518Z,mock,checkout,bopis-edge,approve,bureau_call,true,0.720,671,2,993,218,mock,mock
2,2026-09-19T04:38:34.472Z,mock,checkout,bureau-contradiction,review,bureau_call,true,0.350,953,2,1004,220,mock,mock
2,2026-09-19T04:38:34.541Z,mock,checkout,clean-repeat-buyer,approve,approve_fast_path,false,0.870,69,1,525,113,mock,mock
2,2026-09-19T04:38:34.627Z,mock,checkout,stolen-card-pattern,decline,decline_fast_path,false,0.790,86,1,520,115,mock,mock
2,2026-09-19T04:38:35.100Z,mock,checkout,thin-file-new-customer,step_up,bureau_call,true,0.550,472,2,1004,220,mock,mock
0,2026-09-19T04:38:35.189Z,mock,prreview,direct-ssrf-untrusted,reject,,,0.870,87,1,614,111,mock,mock
0,2026-09-19T04:38:35.630Z,mock,prreview,gray-zone-reachable-admin,approve,,,0.560,70,1,630,112,mock,mock
0,2026-09-19T04:38:36.058Z,mock,prreview,major-runtime-breaking-v2,approve,,,0.540,72,1,727,112,mock,mock
0,2026-09-19T04:38:36.535Z,mock,prreview,major-runtime-breaking,needs_human,,,0.540,62,1,608,112,mock,mock
0,2026-09-19T04:38:36.598Z,mock,prreview,minor-transitive-safe,approve,,,0.710,62,1,571,111,mock,mock
0,2026-09-19T04:38:36.683Z,mock,prreview,patch-lockfile-only,approve,,,0.860,85,1,548,111,mock,mock
0,2026-09-19T04:38:36.765Z,mock,prreview,unsound-lockfile-drift,reject,,,0.740,82,1,531,111,mock,mock
1,2026-09-19T04:38:36.842Z,mock,prreview,direct-ssrf-untrusted,reject,,,0.870,76,1,614,111,mock,mock
1,2026-09-19T04:38:37.395Z,mock,prreview,gray-zone-reachable-admin,approve,,,0.560,86,1,630,112,mock,mock
1,2026-09-19T04:38:37.799Z,mock,prreview,major-runtime-breaking-v2,approve,,,0.540,82,1,727,112,mock,mock
1,2026-09-19T04:38:38.257Z,mock,prreview,major-runtime-breaking,needs_human,,,0.540,72,1,608,112,mock,mock
1,2026-09-19T04:38:38.328Z,mock,prreview,minor-transitive-safe,approve,,,0.710,71,1,571,111,mock,mock
1,2026-09-19T04:38:38.411Z,mock,prreview,patch-lockfile-only,approve,,,0.860,82,1,548,111,mock,mock
1,2026-09-19T04:38:38.492Z,mock,prreview,unsound-lockfile-drift,reject,,,0.740,81,1,531,111,mock,mock
2,2026-09-19T04:38:38.582Z,mock,prreview,direct-ssrf-untrusted,reject,,,0.870,90,1,614,111,mock,mock
2,2026-09-19T04:38:39.159Z,mock,prreview,gray-zone-reachable-admin,approve,,,0.560,86,1,630,112,mock,mock
2,2026-09-19T04:38:39.685Z,mock,prreview,major-runtime-breaking-v2,approve,,,0.540,72,1,727,112,mock,mock
2,2026-09-19T04:38:40.187Z,mock,prreview,major-runtime-breaking,needs_human,,,0.540,81,1,608,112,mock,mock
2,2026-09-19T04:38:40.269Z,mock,prreview,minor-transitive-safe,approve,,,0.710,81,1,571,111,mock,mock
2,2026-09-19T04:38:40.329Z,mock,prreview,patch-lockfile-only,approve,,,0.860,60,1,548,111,mock,mock
2,2026-09-19T04:38:40.410Z,mock,prreview,unsound-lockfile-drift,reject,,,0.740,81,1,531,111,mock,mock
0,2026-09-19T04:38:41.346Z,real,triage,ambiguous-failure,needs_human,,,0.870,935,1,856,131,jev-latest,jev-1.13.0
0,2026-09-19T04:38:42.082Z,real,triage,bad-test-v2,requeue_environment,,,0.860,736,1,934,128,jev-latest,jev-1.13.0
0,2026-09-19T04:38:42.394Z,real,triage,bad-test,requeue_environment,,,0.790,312,1,932,128,jev-latest,jev-1.13.0
0,2026-09-19T04:38:42.681Z,real,triage,environment-drift,requeue_environment,,,0.900,287,1,860,128,jev-latest,jev-1.13.0
0,2026-09-19T04:38:42.944Z,real,triage,error-contract-regression-v2,file_regression_p2,,,0.740,263,1,916,131,jev-latest,jev-1.13.0
0,2026-09-19T04:38:43.270Z,real,triage,error-contract-regression,file_regression_p2,,,0.730,326,1,914,131,jev-latest,jev-1.13.0
0,2026-09-19T04:38:43.607Z,real,triage,infra-outage,restart_infra,,,0.980,337,1,861,128,jev-latest,jev-1.13.0
0,2026-09-19T04:38:43.891Z,real,triage,known-flake-v2,fix_test,,,0.840,284,1,994,129,jev-latest,jev-1.13.0
0,2026-09-19T04:38:44.196Z,real,triage,known-flake,fix_test,,,0.890,305,1,992,129,jev-latest,jev-1.13.0
1,2026-09-19T04:38:44.492Z,real,triage,ambiguous-failure,needs_human,,,0.860,296,1,856,131,jev-latest,jev-1.13.0
1,2026-09-19T04:38:44.760Z,real,triage,bad-test-v2,requeue_environment,,,0.830,267,1,934,128,jev-latest,jev-1.13.0
1,2026-09-19T04:38:45.077Z,real,triage,bad-test,requeue_environment,,,0.840,317,1,932,128,jev-latest,jev-1.13.0
1,2026-09-19T04:38:45.362Z,real,triage,environment-drift,requeue_environment,,,0.900,285,1,860,128,jev-latest,jev-1.13.0
1,2026-09-19T04:38:45.669Z,real,triage,error-contract-regression-v2,file_regression_p2,,,0.710,307,1,916,131,jev-latest,jev-1.13.0
1,2026-09-19T04:38:45.949Z,real,triage,error-contract-regression,file_regression_p2,,,0.760,279,1,914,131,jev-latest,jev-1.13.0
1,2026-09-19T04:38:46.200Z,real,triage,infra-outage,restart_infra,,,0.990,251,1,861,128,jev-latest,jev-1.13.0
1,2026-09-19T04:38:46.510Z,real,triage,known-flake-v2,fix_test,,,0.870,309,1,994,129,jev-latest,jev-1.13.0
1,2026-09-19T04:38:46.822Z,real,triage,known-flake,fix_test,,,0.890,312,1,992,129,jev-latest,jev-1.13.0
2,2026-09-19T04:38:47.140Z,real,triage,ambiguous-failure,needs_human,,,0.870,317,1,856,131,jev-latest,jev-1.13.0
2,2026-09-19T04:38:47.402Z,real,triage,bad-test-v2,requeue_environment,,,0.880,262,1,934,128,jev-latest,jev-1.13.0
2,2026-09-19T04:38:47.773Z,real,triage,bad-test,requeue_environment,,,0.780,371,1,932,128,jev-latest,jev-1.13.0
2,2026-09-19T04:38:48.136Z,real,triage,environment-drift,requeue_environment,,,0.900,363,1,860,128,jev-latest,jev-1.13.0
2,2026-09-19T04:38:48.559Z,real,triage,error-contract-regression-v2,file_regression_p2,,,0.710,423,1,916,131,jev-latest,jev-1.13.0
2,2026-09-19T04:38:48.845Z,real,triage,error-contract-regression,file_regression_p2,,,0.740,286,1,914,131,jev-latest,jev-1.13.0
2,2026-09-19T04:38:49.149Z,real,triage,infra-outage,restart_infra,,,0.990,304,1,861,128,jev-latest,jev-1.13.0
2,2026-09-19T04:38:49.456Z,real,triage,known-flake-v2,fix_test,,,0.840,307,1,994,129,jev-latest,jev-1.13.0
2,2026-09-19T04:38:49.710Z,real,triage,known-flake,fix_test,,,0.900,254,1,992,129,jev-latest,jev-1.13.0
0,2026-09-19T04:38:50.727Z,real,checkout,ambiguous-checkout,review,bureau_call,true,0.650,1015,2,1936,185,jev-latest,jev-1.13.0
0,2026-09-19T04:38:51.595Z,real,checkout,bopis-edge-v2,review,bureau_call,true,0.430,868,2,1939,185,jev-latest,jev-1.13.0
0,2026-09-19T04:38:52.904Z,real,checkout,bopis-edge,review,bureau_call,true,0.380,1308,2,1933,185,jev-latest,jev-1.13.0
0,2026-09-19T04:38:53.852Z,real,checkout,bureau-contradiction,review,bureau_call,true,0.680,947,2,1945,185,jev-latest,jev-1.13.0
0,2026-09-19T04:38:54.113Z,real,checkout,clean-repeat-buyer,approve,approve_fast_path,false,1.000,261,1,904,96,jev-latest,jev-1.13.0
0,2026-09-19T04:38:54.418Z,real,checkout,stolen-card-pattern,decline,decline_fast_path,false,1.000,305,1,893,98,jev-latest,jev-1.13.0
0,2026-09-19T04:38:55.693Z,real,checkout,thin-file-new-customer,review,bureau_call,true,0.520,1273,2,1931,186,jev-latest,jev-1.13.0
1,2026-09-19T04:38:56.884Z,real,checkout,ambiguous-checkout,review,bureau_call,true,0.620,1189,2,1936,185,jev-latest,jev-1.13.0
1,2026-09-19T04:38:57.788Z,real,checkout,bopis-edge-v2,review,bureau_call,true,0.540,903,2,1937,185,jev-latest,jev-1.13.0
1,2026-09-19T04:38:58.849Z,real,checkout,bopis-edge,review,bureau_call,true,0.430,1060,2,1935,185,jev-latest,jev-1.13.0
1,2026-09-19T04:38:59.773Z,real,checkout,bureau-contradiction,review,bureau_call,true,0.740,923,2,1946,185,jev-latest,jev-1.13.0
1,2026-09-19T04:39:00.079Z,real,checkout,clean-repeat-buyer,approve,approve_fast_path,false,1.000,306,1,904,96,jev-latest,jev-1.13.0
1,2026-09-19T04:39:00.402Z,real,checkout,stolen-card-pattern,decline,decline_fast_path,false,1.000,323,1,893,98,jev-latest,jev-1.13.0
1,2026-09-19T04:39:01.638Z,real,checkout,thin-file-new-customer,step_up,bureau_call,true,0.580,1236,2,1932,186,jev-latest,jev-1.13.0
2,2026-09-19T04:39:02.712Z,real,checkout,ambiguous-checkout,review,bureau_call,true,0.610,1073,2,1935,185,jev-latest,jev-1.13.0
2,2026-09-19T04:39:03.972Z,real,checkout,bopis-edge-v2,review,bureau_call,true,0.400,1260,2,1940,185,jev-latest,jev-1.13.0
2,2026-09-19T04:39:04.840Z,real,checkout,bopis-edge,review,bureau_call,true,0.450,868,2,1935,185,jev-latest,jev-1.13.0
2,2026-09-19T04:39:05.869Z,real,checkout,bureau-contradiction,review,bureau_call,true,0.770,1027,2,1946,185,jev-latest,jev-1.13.0
2,2026-09-19T04:39:06.199Z,real,checkout,clean-repeat-buyer,approve,approve_fast_path,false,1.000,330,1,904,96,jev-latest,jev-1.13.0
2,2026-09-19T04:39:06.464Z,real,checkout,stolen-card-pattern,decline,decline_fast_path,false,1.000,265,1,893,98,jev-latest,jev-1.13.0
2,2026-09-19T04:39:07.607Z,real,checkout,thin-file-new-customer,step_up,bureau_call,true,0.630,1142,2,1932,186,jev-latest,jev-1.13.0
0,2026-09-19T04:39:07.894Z,real,prreview,direct-ssrf-untrusted,reject,,,1.000,286,1,1073,137,jev-latest,jev-1.13.0
0,2026-09-19T04:39:08.412Z,real,prreview,gray-zone-reachable-admin,approve,,,0.970,304,1,1106,138,jev-latest,jev-1.13.0
0,2026-09-19T04:39:08.749Z,real,prreview,major-runtime-breaking-v2,reject,,,0.760,337,1,1180,137,jev-latest,jev-1.13.0
0,2026-09-19T04:39:09.043Z,real,prreview,major-runtime-breaking,reject,,,0.630,294,1,1067,137,jev-latest,jev-1.13.0
0,2026-09-19T04:39:09.329Z,real,prreview,minor-transitive-safe,approve,,,1.000,286,1,1040,137,jev-latest,jev-1.13.0
0,2026-09-19T04:39:09.586Z,real,prreview,patch-lockfile-only,approve,,,0.960,256,1,985,137,jev-latest,jev-1.13.0
0,2026-09-19T04:39:09.871Z,real,prreview,unsound-lockfile-drift,reject,,,0.520,284,1,966,138,jev-latest,jev-1.13.0
1,2026-09-19T04:39:10.127Z,real,prreview,direct-ssrf-untrusted,reject,,,1.000,255,1,1073,137,jev-latest,jev-1.13.0
1,2026-09-19T04:39:10.734Z,real,prreview,gray-zone-reachable-admin,approve,,,0.980,275,1,1106,138,jev-latest,jev-1.13.0
1,2026-09-19T04:39:11.014Z,real,prreview,major-runtime-breaking-v2,reject,,,0.760,280,1,1180,137,jev-latest,jev-1.13.0
1,2026-09-19T04:39:11.272Z,real,prreview,major-runtime-breaking,reject,,,0.550,258,1,1067,137,jev-latest,jev-1.13.0
1,2026-09-19T04:39:11.562Z,real,prreview,minor-transitive-safe,approve,,,1.000,289,1,1040,137,jev-latest,jev-1.13.0
1,2026-09-19T04:39:11.830Z,real,prreview,patch-lockfile-only,approve,,,0.960,268,1,985,137,jev-latest,jev-1.13.0
1,2026-09-19T04:39:12.160Z,real,prreview,unsound-lockfile-drift,needs_human,,,0.490,330,1,966,138,jev-latest,jev-1.13.0
2,2026-09-19T04:39:12.465Z,real,prreview,direct-ssrf-untrusted,reject,,,1.000,305,1,1073,137,jev-latest,jev-1.13.0
2,2026-09-19T04:39:13.031Z,real,prreview,gray-zone-reachable-admin,approve,,,0.970,295,1,1106,138,jev-latest,jev-1.13.0
2,2026-09-19T04:39:13.338Z,real,prreview,major-runtime-breaking-v2,reject,,,0.720,306,1,1180,137,jev-latest,jev-1.13.0
2,2026-09-19T04:39:13.625Z,real,prreview,major-runtime-breaking,reject,,,0.660,287,1,1067,137,jev-latest,jev-1.13.0
2,2026-09-19T04:39:13.907Z,real,prreview,minor-transitive-safe,approve,,,1.000,282,1,1040,137,jev-latest,jev-1.13.0
2,2026-09-19T04:39:14.209Z,real,prreview,patch-lockfile-only,approve,,,0.960,301,1,985,137,jev-latest,jev-1.13.0
2,2026-09-19T04:39:14.570Z,real,prreview,unsound-lockfile-drift,reject,,,0.510,361,1,966,138,jev-latest,jev-1.13.0
