run_index,timestamp,provider,domain,scenario,action,stage1_route,bureau_called,confidence,latency_ms,calls,input_tokens,output_tokens,model,resolved_model
2,2026-09-18T19:59:27.701Z,llm-local,dunning,nsf-transient,retry_in_3d,,,0.625,30702,5,4695,995,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
2,2026-09-18T19:59:58.408Z,llm-local,dunning,processor-outage,retry_next_schedule,,,0.628,30707,5,4815,999,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
0,2026-09-18T20:00:23.839Z,llm-local,prreview,direct-ssrf-untrusted,reject,,,0.787,25429,5,4900,732,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
0,2026-09-18T20:00:53.920Z,llm-local,prreview,gray-zone-reachable-admin,approve,,,0.679,29638,5,5080,862,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
0,2026-09-18T20:01:51.848Z,llm-local,prreview,major-runtime-breaking,needs_human,,,0.308,57928,5,4855,846,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
0,2026-09-18T20:02:40.511Z,llm-local,prreview,minor-transitive-safe,approve,,,0.797,48663,5,4705,706,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
0,2026-09-18T20:03:33.334Z,llm-local,prreview,patch-lockfile-only,approve,,,0.661,52823,5,4435,817,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
0,2026-09-18T20:04:23.227Z,llm-local,prreview,unsound-lockfile-drift,needs_human,,,0.317,49893,5,4320,846,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T20:05:03.449Z,llm-local,prreview,direct-ssrf-untrusted,reject,,,0.847,40220,5,4900,734,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T20:05:47.912Z,llm-local,prreview,gray-zone-reachable-admin,approve,,,0.785,43976,5,5080,857,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T20:06:30.593Z,llm-local,prreview,major-runtime-breaking,needs_human,,,0.367,42681,5,4855,790,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T20:07:07.219Z,llm-local,prreview,minor-transitive-safe,approve,,,0.820,36626,5,4705,657,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T20:07:49.653Z,llm-local,prreview,patch-lockfile-only,approve,,,0.797,42426,5,4435,814,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
1,2026-09-18T20:08:25.293Z,llm-local,prreview,unsound-lockfile-drift,needs_human,,,0.258,35639,5,4320,844,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
2,2026-09-18T20:08:58.527Z,llm-local,prreview,direct-ssrf-untrusted,reject,,,0.792,33233,5,4900,790,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
2,2026-09-18T20:09:35.361Z,llm-local,prreview,gray-zone-reachable-admin,approve,,,0.727,36578,5,5080,856,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
2,2026-09-18T20:09:59.810Z,llm-local,prreview,major-runtime-breaking,needs_human,,,0.353,24448,5,4855,853,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
2,2026-09-18T20:10:28.269Z,llm-local,prreview,minor-transitive-safe,approve,,,0.797,28459,5,4705,822,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
2,2026-09-18T20:10:57.031Z,llm-local,prreview,patch-lockfile-only,approve,,,0.743,28762,5,4435,869,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
2,2026-09-18T20:11:31.725Z,llm-local,prreview,unsound-lockfile-drift,needs_human,,,0.000,34693,5,4320,805,qwen3.6:35b-a3b-coding-mtp-q4_K_M,qwen3.6:35b-a3b-coding-mtp-q4_K_M
